constructorId,fullName,id,name
wolf-williams,Wolf-Williams FW05,wolf-williams-fw05,FW05
wolf,Wolf WR1,wolf-wr1,WR1
wolf,Wolf WR2,wolf-wr2,WR2
wolf,Wolf WR3,wolf-wr3,WR3
wolf,Wolf WR4,wolf-wr4,WR4
wolf,Wolf WR5,wolf-wr5,WR5
wolf,Wolf WR6,wolf-wr6,WR6
wolf,Wolf WR7,wolf-wr7,WR7
wolf,Wolf WR8,wolf-wr8,WR8
wolf,Wolf WR9,wolf-wr9,WR9
zakspeed,Zakspeed 841,zakspeed-841,841
zakspeed,Zakspeed 861,zakspeed-861,861
zakspeed,Zakspeed 871,zakspeed-871,871
zakspeed,Zakspeed 881,zakspeed-881,881
zakspeed,Zakspeed 891,zakspeed-891,891
